datetime,DXY open,DXY high,DXY low,DXY close
2023-11-28 16:00:00+00:00,102.892,102.918,102.646,102.653
2023-11-28 17:00:00+00:00,102.652,102.816,102.61,102.799
2023-11-28 18:00:00+00:00,102.799,102.918,102.788,102.842
2023-11-28 19:00:00+00:00,102.841,102.841,102.724,102.746
2023-11-28 20:00:00+00:00,102.746,102.878,102.746,102.778
2023-11-28 21:00:00+00:00,102.778,102.792,102.727,102.741
2023-11-28 22:00:00+00:00,102.741,102.756,102.724,102.736
2023-11-29 13:00:00+00:00,102.809,102.917,102.717,102.913
2023-11-29 14:00:00+00:00,102.914,103.009,102.757,102.836
2023-11-29 15:00:00+00:00,102.837,103.009,102.703,102.846
2023-11-29 16:00:00+00:00,102.847,102.971,102.828,102.904
2023-11-29 17:00:00+00:00,102.902,102.924,102.81,102.821
2023-11-29 18:00:00+00:00,102.821,102.847,102.729,102.736
2023-11-29 19:00:00+00:00,102.736,102.818,102.648,102.765
2023-11-29 20:00:00+00:00,102.765,102.871,102.762,102.858
2023-11-29 21:00:00+00:00,102.859,102.869,102.826,102.864
2023-11-29 22:00:00+00:00,102.863,102.865,102.827,102.829
2023-11-30 13:00:00+00:00,103.237,103.372,103.039,103.358
2023-11-30 14:00:00+00:00,103.358,103.581,103.306,103.435
2023-11-30 15:00:00+00:00,103.434,103.446,103.274,103.29
2023-11-30 16:00:00+00:00,103.287,103.379,103.234,103.342
2023-11-30 17:00:00+00:00,103.342,103.517,103.295,103.502
2023-11-30 18:00:00+00:00,103.502,103.565,103.402,103.513
2023-11-30 19:00:00+00:00,103.513,103.541,103.458,103.497
2023-11-30 20:00:00+00:00,103.497,103.59,103.485,103.537
2023-11-30 21:00:00+00:00,103.536,103.54,103.486,103.506
2023-11-30 22:00:00+00:00,103.506,103.52,103.478,103.479
2023-12-01 13:00:00+00:00,103.541,103.587,103.456,103.581
2023-12-01 14:00:00+00:00,103.578,103.719,103.548,103.704
2023-12-01 15:00:00+00:00,103.703,103.713,103.473,103.643
2023-12-01 16:00:00+00:00,103.643,103.722,103.212,103.279
2023-12-01 17:00:00+00:00,103.278,103.328,103.21,103.227
2023-12-01 18:00:00+00:00,103.226,103.246,103.115,103.151
2023-12-01 19:00:00+00:00,103.151,103.285,103.121,103.268
2023-12-01 20:00:00+00:00,103.268,103.281,103.218,103.222
2023-12-01 21:00:00+00:00,103.222,103.23,103.189,103.193
2023-12-04 13:00:00+00:00,103.334,103.454,103.288,103.445
2023-12-04 14:00:00+00:00,103.446,103.754,103.445,103.555
2023-12-04 15:00:00+00:00,103.558,103.852,103.517,103.783
2023-12-04 16:00:00+00:00,103.783,103.812,103.701,103.715
2023-12-04 17:00:00+00:00,103.715,103.753,103.674,103.709
2023-12-04 18:00:00+00:00,103.709,103.822,103.702,103.809
2023-12-04 19:00:00+00:00,103.81,103.815,103.703,103.712
2023-12-04 20:00:00+00:00,103.712,103.714,103.648,103.664
2023-12-04 21:00:00+00:00,103.664,103.667,103.624,103.634
2023-12-04 22:00:00+00:00,103.634,103.653,103.63,103.634
2023-12-05 13:00:00+00:00,103.801,103.806,103.648,103.673
2023-12-05 14:00:00+00:00,103.673,103.911,103.664,103.859
2023-12-05 15:00:00+00:00,103.86,103.913,103.571,103.85
2023-12-05 16:00:00+00:00,103.85,104.07,103.804,104.035
2023-12-05 17:00:00+00:00,104.034,104.034,103.913,103.959
2023-12-05 18:00:00+00:00,103.96,104.092,103.954,104.036
2023-12-05 19:00:00+00:00,104.036,104.077,104.024,104.05
2023-12-05 20:00:00+00:00,104.05,104.064,103.955,103.97
2023-12-05 21:00:00+00:00,103.969,103.981,103.938,103.951
